customer_id,state,fav_tennis_player,age_group
U105055,Ohio,Rafael Nadal,34-45
U105063,Texas,Emma Raducanu,45+
U105068,Florida,Rafael Nadal,18-24
U105069,California,Emma Raducanu,25-34
U10507,California,Roger Federer,45+
U105080,Ohio,Rafa,34-45
U105082,Florida,Roder Feedderer,18-24
U105142,New York,Roder Feedderer,25-34
U105199,Florida,Rafa,18-24
U105238,Texas,Rafa,34-45
U10530,New York,Emma Raducanu,25-34
U10541,Ohio,Emma Raducanu,45+
U105426,US State,Serena Williams,45+
U105513,Florida,Emma Raducanu,18-24
U10553,Texas,Rafael Nadal,18-24
U10559,Ohio,Roder Feedderer,18-24
U105592,Ohio,Queen Serena,25-34
U10561,New York,Rafael Nadal,25-34
U10565,Florida,Rafael Nadal,18-24
U105812,Texas,Emma Radunanucanunu,18-24
U105831,Florida,Rafael Nadal,34-45
U105836,California,Rafael Nadal,25-34
U105865,New York,Roder Feedderer,25-34
U105868,Pennsylvania,Rafa Nadal,18-24
U105907,Florida,Queen Serena,18-24
U106011,Illinois,Roger Federer,45+
U10608,California,Roder Feedderer,34-45
U106100,California,Rafael Nadal,18-24
U106138,Texas,Serena Williams,34-45
U106153,Illinois,Rafa,18-24
U10617,California,Roder Feedderer,25-34
U106190,Florida,Queen Serena,34-45
U106232,New York,Roder Feedderer,18-24
U10624,Pennsylvania,Queen Serena,25-34
U106241,Florida,Roger Federer,45+
U106275,New York,Serena Williams,18-24
U106365,Pennsylvania,Rafa,25-34
U106369,Pennsylvania,Queen Serena,18-24
U106401,New York,Rafa,34-45
U106422,Illinois,Roder Feedderer,45+
U106449,Texas,Roger Federer,45+
U10645,Ohio,Emma Raducanu,18-24
U106456,Pennsylvania,Rafael Nadal,18-24
U106498,Pennsylvania,Queen Serena,25-34
U106518,New York,Rafa,18-24
U106528,US State,Novak Djokovic,45+
U106589,Ohio,Rafa,25-34
U10659,Texas,Serena Williams,18-24
U106599,Florida,Roder Feedderer,34-45
U10665,Texas,Queen Serena,18-24
U10669,Illinois,Novak Djokovic,45+
U106722,Illinois,Rafa Nadal,45+
U106733,California,Serena Williams,45+
U10675,Texas,Rafael Nadal,18-24
U10686,Ohio,Novak Djokovic,18-24
U106943,Illinois,Emma Raducanu,18-24
U10696,Illinois,Rafa Nadal,25-34
U107009,New York,Rafael Nadal,25-34
U107015,Ohio,Queen Serena,18-24
U107042,Pennsylvania,Rafael Nadal,18-24
U10706,Texas,Queen Serena,45+
U10710,Texas,Queen Serena,45+
U107107,Illinois,Emma Radunanucanunu,45+
U107116,New York,Rafael Nadal,45+
U107120,Illinois,Emma Radunanucanunu,25-34
U107139,Illinois,Emma Radunanucanunu,18-24
U107237,California,Emma Raducanu,25-34
U107278,New York,Rafa,18-24
U107282,Pennsylvania,Rafa,18-24
U107286,New York,Rafa,45+
U10735,California,Rafael Nadal,45+
U107381,New York,Rafa Nadal,18-24
U107408,Pennsylvania,Novak Djokovic,18-24
U107460,Florida,Rafa,34-45
U107466,Texas,Roder Feedderer,25-34
U107590,Pennsylvania,Rafa Nadal,45+
U107658,Florida,Serena Williams,18-24
U107685,Texas,Roder Feedderer,25-34
U107686,Illinois,Queen Serena,25-34
U107707,Ohio,Roger Federer,18-24
U107817,Ohio,Emma Raducanu,18-24
U107852,Illinois,Novak Djokovic,34-45
U107898,Illinois,Emma Radunanucanunu,18-24
U108051,California,Rafa,45+
U108073,California,Novak Djokovic,45+
U1081,Texas,Roder Feedderer,25-34
U10811,Ohio,Roger Federer,18-24
U108144,New York,Rafa,18-24
U108199,US State,Emma Raducanu,18-24
U108267,California,Roder Feedderer,25-34
U108361,Pennsylvania,Rafael Nadal,45+
U108370,Ohio,Rafa Nadal,18-24
U10839,California,Emma Raducanu,45+
U108456,Texas,Novak Djokovic,34-45
U108463,Florida,Queen Serena,34-45
U10848,New York,Emma Raducanu,45+
U10852,California,Queen Serena,18-24
U108566,Florida,Roger Federer,18-24
U108577,Texas,Roger Federer,34-45
U1086,Illinois,Rafa,25-34
U10881,Pennsylvania,Rafa Nadal,34-45
U108818,New York,Emma Raducanu,45+
U108911,Illinois,Roder Feedderer,34-45
U10896,Pennsylvania,Queen Serena,18-24
U109046,Illinois,Roder Feedderer,18-24
U109116,Ohio,Rafa,25-34
U109137,Pennsylvania,Emma Radunanucanunu,45+
U10919,Illinois,Rafael Nadal,45+
U109230,Florida,Rafael Nadal,18-24
U109246,New York,Novak Djokovic,45+
U10928,Ohio,Rafa,34-45
U10929,Florida,Rafael Nadal,34-45
U10941,California,Novak Djokovic,18-24
U109417,Ohio,Rafael Nadal,34-45
U109430,Texas,Emma Radunanucanunu,34-45
U109511,Illinois,Emma Raducanu,18-24
U109609,Pennsylvania,Roger Federer,34-45
U10961,New York,Rafael Nadal,18-24
U10963,Pennsylvania,Novak Djokovic,25-34
U109776,Florida,Rafa,34-45
U109795,Florida,Roger Federer,18-24
U1098,New York,Roger Federer,45+
U109867,Florida,Rafa Nadal,18-24
U10992,Illinois,Roder Feedderer,45+
U109974,Florida,Rafa Nadal,45+
U109996,Ohio,Emma Radunanucanunu,18-24
U109998,Texas,Rafa Nadal,45+
U110006,Pennsylvania,Rafa,18-24
U11001,Texas,Emma Radunanucanunu,34-45
U110010,Illinois,Rafa Nadal,18-24
U110017,Ohio,Roger Federer,18-24
U110021,Florida,Novak Djokovic,34-45
U110030,Florida,Rafa,25-34
U110040,Florida,Rafa Nadal,18-24
U110143,Texas,Rafael Nadal,45+
U11016,Florida,Novak Djokovic,18-24
U110174,Illinois,Roder Feedderer,25-34
U110194,Ohio,Novak Djokovic,25-34
U110230,Ohio,Serena Williams,45+
U110266,Ohio,Novak Djokovic,34-45
U110333,Illinois,Emma Raducanu,18-24
U110349,Illinois,Roger Federer,18-24
U110572,California,Roger Federer,25-34
U110581,New York,Rafael Nadal,25-34
U110602,Florida,Novak Djokovic,18-24
U110610,Florida,Rafa,34-45
U110647,New York,Emma Radunanucanunu,25-34
U110681,California,Emma Radunanucanunu,34-45
U110705,New York,Novak Djokovic,18-24
U110761,California,Novak Djokovic,45+
U11079,New York,Rafa,34-45
U110794,Pennsylvania,Emma Raducanu,18-24
U11084,California,Emma Radunanucanunu,18-24
U110856,Texas,Emma Radunanucanunu,18-24
U1109,Florida,Rafa,45+
U110921,Pennsylvania,Rafa Nadal,25-34
U11099,Pennsylvania,Novak Djokovic,34-45
U111008,Texas,Rafael Nadal,18-24
U111050,New York,Roder Feedderer,45+
U11107,Ohio,Rafael Nadal,34-45
U111117,New York,Novak Djokovic,18-24
U111152,Ohio,Roger Federer,25-34
U111233,Florida,Serena Williams,34-45
U111234,Pennsylvania,Roder Feedderer,18-24
U111266,Ohio,Queen Serena,18-24
U111315,New York,Roder Feedderer,18-24
U111322,New York,Serena Williams,18-24
U111338,New York,Roder Feedderer,25-34
U111366,Illinois,Roder Feedderer,18-24
U111369,Florida,Emma Radunanucanunu,25-34
U111382,Ohio,Emma Radunanucanunu,18-24
U111482,Florida,Queen Serena,34-45
U111519,Texas,Roder Feedderer,18-24
U111529,California,Queen Serena,25-34
U11156,Texas,Emma Raducanu,45+
U111563,Ohio,Rafa,18-24
U111603,Florida,Roger Federer,18-24
U111672,Pennsylvania,Rafa Nadal,45+
U111691,California,Serena Williams,34-45
U11171,Florida,Rafael Nadal,18-24
U111721,Pennsylvania,Rafa,45+
U111723,New York,Novak Djokovic,18-24
U111771,Florida,Rafa Nadal,25-34
U111795,Ohio,Emma Raducanu,25-34
U11186,California,Emma Raducanu,25-34
U111911,US State,Emma Raducanu,45+
U111915,Pennsylvania,Roder Feedderer,45+
U11198,Ohio,Rafa,34-45
U111981,Ohio,Roger Federer,45+
U112,Florida,Roder Feedderer,18-24
U112017,Florida,Rafa,18-24
U112106,Illinois,Rafa Nadal,18-24
U112115,Ohio,Rafa Nadal,25-34
U112136,Texas,Emma Raducanu,34-45
U112145,Pennsylvania,Rafa,34-45
U112165,Pennsylvania,Rafa Nadal,18-24
U112173,Pennsylvania,Rafael Nadal,18-24
U112182,New York,Roger Federer,34-45
U112194,Pennsylvania,Novak Djokovic,18-24
U112208,Pennsylvania,Queen Serena,34-45
U112217,California,Rafa,25-34
U112222,Illinois,Queen Serena,25-34
U112251,Florida,Roder Feedderer,34-45
U11226,New York,Roder Feedderer,25-34
U112300,Texas,Roger Federer,18-24
U112371,California,Roder Feedderer,34-45
U112373,Florida,Novak Djokovic,18-24
U11238,Florida,Rafa,18-24
U112463,Texas,Serena Williams,18-24
U112554,Illinois,Novak Djokovic,45+
U112586,US State,Emma Raducanu,25-34
U112587,Texas,Roder Feedderer,45+
U11259,Texas,Rafa,34-45
U1126,Ohio,Queen Serena,25-34
U11262,Texas,Emma Radunanucanunu,18-24
U112636,Ohio,Serena Williams,34-45
U112640,California,Queen Serena,45+
U112672,California,Queen Serena,18-24
U112739,Texas,Queen Serena,45+
U112749,New York,Rafa,34-45
U112771,Ohio,Serena Williams,45+
U112789,Pennsylvania,Roder Feedderer,18-24
U112839,California,Rafa,18-24
U112850,Texas,Emma Radunanucanunu,34-45
U112943,New York,Rafa,18-24
U112947,Ohio,Roder Feedderer,45+
U112971,California,Serena Williams,34-45
U113032,Illinois,Rafa,25-34
U113050,Pennsylvania,Rafa Nadal,18-24
U11307,Florida,Rafael Nadal,34-45
U113097,Pennsylvania,Emma Raducanu,34-45
U113145,New York,Rafael Nadal,45+
U113176,Ohio,Serena Williams,45+
U1132,California,Rafael Nadal,25-34
U113259,Ohio,Serena Williams,25-34
U11326,New York,Roder Feedderer,25-34
U113275,Texas,Serena Williams,25-34
U113311,US State,Rafael Nadal,45+
U11334,Pennsylvania,Rafa Nadal,18-24
U11339,Florida,Queen Serena,18-24
U113522,New York,Roger Federer,18-24
U11353,Illinois,Roger Federer,45+
U113531,Texas,Serena Williams,45+
U113554,Pennsylvania,Novak Djokovic,45+
U11361,California,Rafael Nadal,18-24
U11375,Texas,Serena Williams,34-45
U113755,Pennsylvania,Rafael Nadal,18-24
U113856,US State,Rafa Nadal,25-34
U113863,California,Serena Williams,25-34
U113883,New York,Rafa,18-24
U113929,Pennsylvania,Roder Feedderer,18-24
U113984,Pennsylvania,Roger Federer,25-34
U11402,Illinois,Rafa,18-24
U114038,Pennsylvania,Queen Serena,25-34
U114048,Ohio,Rafa,18-24
U11411,Florida,Queen Serena,34-45
U114112,New York,Queen Serena,18-24
U114124,Pennsylvania,Rafa,18-24
U11413,New York,Roder Feedderer,18-24
U114134,Florida,Novak Djokovic,34-45
U11421,Florida,Roger Federer,45+
U114212,Pennsylvania,Rafa,18-24
U114225,US State,Serena Williams,18-24
U114249,Florida,Queen Serena,34-45
U114309,Texas,Rafael Nadal,25-34
U11432,New York,Serena Williams,18-24
U114349,New York,Emma Raducanu,34-45
U114362,Pennsylvania,Emma Raducanu,25-34
U114386,Illinois,Emma Radunanucanunu,45+
U1144,Pennsylvania,Rafa,25-34
U114405,Illinois,Roder Feedderer,18-24
U114433,Pennsylvania,Queen Serena,34-45
U114437,Pennsylvania,Rafael Nadal,18-24
U11444,Pennsylvania,Queen Serena,18-24
U114441,Pennsylvania,Emma Raducanu,45+
U114452,Texas,Queen Serena,18-24
U114456,California,Rafa,25-34
U114475,Florida,Rafael Nadal,25-34
U114521,Pennsylvania,Queen Serena,18-24
U114587,Florida,Rafa,25-34
U114610,US State,Novak Djokovic,45+
U114632,New York,Novak Djokovic,45+
U114684,Pennsylvania,Rafael Nadal,34-45
U114693,New York,Queen Serena,18-24
U114735,California,Roger Federer,18-24
U11475,New York,Rafa,34-45
U114785,Illinois,Novak Djokovic,18-24
U114811,Pennsylvania,Rafael Nadal,34-45
U11488,Pennsylvania,Queen Serena,25-34
U114923,Texas,Queen Serena,25-34
U114966,Texas,Novak Djokovic,45+
U115002,California,Rafa,18-24
U115064,Illinois,Rafa,25-34
U115102,Ohio,Rafael Nadal,18-24
U11516,New York,Rafa,18-24
U115167,California,Rafael Nadal,18-24
U11532,US State,Novak Djokovic,45+
U115330,Florida,Serena Williams,34-45
U11535,Ohio,Rafa,25-34
U115405,Texas,Roger Federer,25-34
U115441,Ohio,Queen Serena,34-45
U115471,Pennsylvania,Roger Federer,25-34
U115479,Texas,Queen Serena,18-24
U115487,Illinois,Emma Raducanu,25-34
U11558,Florida,Roder Feedderer,34-45
U115595,Florida,Rafael Nadal,25-34
U11561,Illinois,Rafa Nadal,45+
U11566,California,Serena Williams,45+
U115663,US State,Serena Williams,34-45
U115716,New York,Queen Serena,45+
U115738,Illinois,Emma Radunanucanunu,18-24
U11584,Illinois,Emma Raducanu,18-24
U11586,New York,Rafael Nadal,25-34
U115913,Illinois,Roder Feedderer,25-34
U115919,Ohio,Roger Federer,18-24
U11601,Ohio,Queen Serena,18-24
U116044,Texas,Serena Williams,18-24
U116070,Pennsylvania,Queen Serena,18-24
U116080,Florida,Rafa,25-34
U116119,Florida,Serena Williams,18-24
U116163,Florida,Rafa,25-34
U116173,New York,Novak Djokovic,34-45
U116199,Florida,Queen Serena,34-45
U116266,Ohio,Serena Williams,45+
U116321,Ohio,Emma Raducanu,18-24
U11634,Pennsylvania,Rafael Nadal,18-24
U116353,Ohio,Novak Djokovic,18-24
U11636,Illinois,Emma Radunanucanunu,45+
U116470,Texas,Rafael Nadal,25-34
U116513,New York,Rafael Nadal,18-24
U11655,New York,Rafael Nadal,45+
U11673,Illinois,Emma Radunanucanunu,25-34
U116786,Ohio,Emma Raducanu,18-24
U116797,New York,Queen Serena,34-45
U117013,Pennsylvania,Rafa Nadal,45+
U117033,New York,Rafa,45+
U117099,New York,Novak Djokovic,45+
U117125,Illinois,Rafa Nadal,18-24
U117301,Florida,Novak Djokovic,34-45
U117365,Pennsylvania,Roder Feedderer,18-24
U117410,California,Roder Feedderer,25-34
U117425,Florida,Rafael Nadal,45+
U117507,Florida,Rafa Nadal,18-24
U11751,Illinois,Emma Radunanucanunu,18-24
U117552,Illinois,Roder Feedderer,18-24
U11758,California,Emma Raducanu,25-34
U117592,Texas,Emma Raducanu,18-24
U117613,Texas,Emma Raducanu,45+
U117675,New York,Rafa Nadal,45+
U117677,New York,Emma Raducanu,25-34
U117713,New York,Roder Feedderer,25-34
U117732,New York,Novak Djokovic,45+
U11777,Pennsylvania,Novak Djokovic,18-24
U117783,Florida,Queen Serena,45+
U11781,Florida,Rafa,34-45
U117848,Pennsylvania,Rafa,25-34
U11786,Texas,Roder Feedderer,25-34
U117891,Florida,Roder Feedderer,18-24
U117909,Ohio,Roger Federer,18-24
U117917,New York,Rafa Nadal,18-24
U11792,Pennsylvania,Rafa Nadal,45+
U118055,New York,Emma Radunanucanunu,34-45
U118151,Florida,Emma Raducanu,18-24
U118172,Texas,Roder Feedderer,45+
U11819,Florida,Serena Williams,18-24
U11823,Texas,Roder Feedderer,25-34
U11830,Illinois,Queen Serena,25-34
U118300,New York,Rafa,45+
U11831,Ohio,Roger Federer,18-24
U11832,Ohio,Emma Raducanu,18-24
U118336,Ohio,Serena Williams,45+
U118365,Ohio,Emma Radunanucanunu,18-24
U118374,Ohio,Roder Feedderer,25-34
U118421,New York,Rafa,34-45
U118441,Ohio,Rafael Nadal,25-34
U118448,Pennsylvania,Rafael Nadal,34-45
U11847,Illinois,Novak Djokovic,34-45
U118495,Illinois,Rafael Nadal,25-34
U118537,Pennsylvania,Novak Djokovic,25-34
U11856,California,Novak Djokovic,45+
U118573,New York,Rafa Nadal,45+
U118593,Florida,Rafa,25-34
U11861,New York,Rafa,18-24
U118619,New York,Queen Serena,18-24
U118657,Pennsylvania,Rafa,34-45
U118662,Texas,Rafael Nadal,34-45
U118684,Florida,Emma Raducanu,18-24
U118879,New York,Rafael Nadal,18-24
U118882,New York,Rafael Nadal,18-24
U118958,Ohio,Roder Feedderer,18-24
U118963,California,Rafael Nadal,25-34
U118976,Illinois,Rafa,18-24
U119025,New York,Novak Djokovic,45+
U119116,New York,Rafael Nadal,34-45
U119129,New York,Serena Williams,18-24
U119170,Ohio,Roder Feedderer,45+
U11919,US State,Emma Raducanu,18-24
U11921,California,Roder Feedderer,25-34
U119227,New York,Emma Radunanucanunu,25-34
U11927,Pennsylvania,Rafael Nadal,45+
U119285,Florida,Serena Williams,18-24
U1193,Ohio,Rafa Nadal,18-24
U119374,California,Rafa,34-45
U119393,Florida,Roger Federer,18-24
U11941,Texas,Novak Djokovic,34-45
U119445,Texas,Rafa Nadal,18-24
U11946,Florida,Queen Serena,34-45
U119524,Illinois,Roger Federer,34-45
U119571,Illinois,Roger Federer,45+
U11960,Florida,Roger Federer,18-24
U119662,Pennsylvania,Emma Raducanu,45+
U119665,Florida,Novak Djokovic,25-34
U119690,Pennsylvania,Queen Serena,25-34
U119717,New York,Rafa Nadal,45+
U11973,Texas,Roger Federer,34-45
U119847,Illinois,Rafa,45+
U119900,California,Serena Williams,34-45
U119903,Illinois,Rafa,34-45
U119926,Ohio,Emma Radunanucanunu,45+
U12002,New York,Emma Raducanu,45+
U12007,Illinois,Roder Feedderer,34-45
U120087,New York,Roder Feedderer,18-24
U12011,Illinois,Roder Feedderer,18-24
U120113,Florida,Queen Serena,18-24
U12012,Ohio,Rafa,25-34
U120120,Texas,Emma Radunanucanunu,45+
U120130,Illinois,Rafa,18-24
U120131,Texas,Roger Federer,18-24
U120168,Illinois,Roger Federer,34-45
U1202,Pennsylvania,Emma Radunanucanunu,45+
U120207,Florida,Rafael Nadal,25-34
U120217,California,Emma Raducanu,25-34
U120225,Illinois,Serena Williams,18-24
U120226,Pennsylvania,Rafa,34-45
U120231,Illinois,Queen Serena,25-34
U120264,Texas,Novak Djokovic,18-24
U120304,New York,Rafa Nadal,18-24
U120362,Pennsylvania,Roger Federer,25-34
U120391,Florida,Rafa Nadal,25-34
U120416,Illinois,Serena Williams,25-34
U120522,Pennsylvania,Emma Radunanucanunu,34-45
U120539,California,Roder Feedderer,25-34
U120590,Ohio,Rafael Nadal,18-24
U12063,Florida,Rafael Nadal,18-24
U120632,Texas,Emma Radunanucanunu,18-24
U120635,Florida,Roder Feedderer,34-45
U120640,Texas,Serena Williams,34-45
U120661,New York,Serena Williams,18-24
U120753,Texas,Roder Feedderer,25-34
U120776,Illinois,Roger Federer,45+
U120812,California,Rafa,25-34
U120863,Florida,Emma Radunanucanunu,45+
U120916,Ohio,Roger Federer,45+
U120937,Ohio,Roger Federer,25-34
U120966,New York,Rafa Nadal,18-24
U120989,Pennsylvania,Queen Serena,45+
U12101,New York,Novak Djokovic,45+
U12113,Illinois,Emma Raducanu,18-24
U121138,Texas,Rafael Nadal,34-45
U121180,Illinois,Rafa Nadal,45+
U121236,Illinois,Serena Williams,45+
U121278,Pennsylvania,Novak Djokovic,18-24
U121288,Illinois,Emma Raducanu,18-24
U121310,New York,Emma Radunanucanunu,25-34
U121317,Illinois,Serena Williams,25-34
U121356,Florida,Rafa,45+
U12136,Pennsylvania,Roger Federer,34-45
U121439,Pennsylvania,Rafa,34-45
U121461,Florida,Novak Djokovic,18-24
U121477,Texas,Serena Williams,18-24
U121518,Illinois,Rafa,25-34
U121594,Pennsylvania,Emma Radunanucanunu,45+
U12162,Florida,Rafa,34-45
U121690,Pennsylvania,Roder Feedderer,34-45
U121717,Illinois,Rafa,18-24
U121724,California,Queen Serena,25-34
U12176,Florida,Roger Federer,18-24
U121763,New York,Emma Radunanucanunu,18-24
U121764,Florida,Roger Federer,34-45
U121786,Illinois,Rafa,18-24
U121867,California,Rafa Nadal,18-24
U121880,Ohio,Serena Williams,45+
U121894,Pennsylvania,Serena Williams,18-24
U12190,Florida,Rafa Nadal,18-24
U12191,Florida,Rafa Nadal,45+
U12193,Ohio,Emma Radunanucanunu,18-24
U121930,Pennsylvania,Rafa Nadal,34-45
U121963,California,Serena Williams,18-24
U121984,California,Roder Feedderer,18-24
U121987,Florida,Rafa,34-45
U121993,New York,Queen Serena,18-24
U122062,California,Emma Raducanu,34-45
U122064,Ohio,Rafa,18-24
U12207,Texas,Rafa Nadal,45+
U122088,Texas,Roder Feedderer,25-34
U122106,California,Emma Raducanu,18-24
U122113,California,Rafa Nadal,25-34
U122127,Ohio,Emma Radunanucanunu,45+
U12213,Pennsylvania,Rafa,18-24
U122137,New York,Rafa,45+
U122199,Texas,Rafael Nadal,34-45
U122223,New York,Rafa,45+
U122277,Illinois,Queen Serena,45+
U122281,California,Rafael Nadal,34-45
U122292,Ohio,Serena Williams,18-24
U1223,Illinois,Rafa Nadal,18-24
U12230,Ohio,Roger Federer,18-24
U122354,Illinois,Rafa,34-45
U122417,Florida,Emma Raducanu,18-24
U122439,Florida,Rafa Nadal,18-24
U12252,Florida,Novak Djokovic,34-45
U122545,Texas,Queen Serena,25-34
U12255,Florida,Rafa,25-34
U122580,Ohio,Rafa,45+
U12262,Florida,Rafa Nadal,18-24
U122626,New York,Roder Feedderer,25-34
U122640,Ohio,Roger Federer,34-45
U122654,Illinois,Rafael Nadal,45+
U122723,California,Roder Feedderer,18-24
U122835,Texas,Rafa Nadal,45+
U12287,Texas,Rafael Nadal,45+
U122878,Ohio,Rafa,18-24
U12288,Illinois,Roder Feedderer,25-34
U122970,Florida,Novak Djokovic,34-45
U122975,Texas,Emma Raducanu,18-24
U1230,Ohio,Novak Djokovic,25-34
U123061,Illinois,Emma Raducanu,25-34
U123095,California,Serena Williams,18-24
U123156,Ohio,Rafael Nadal,34-45
U123168,Illinois,Rafa,34-45
U123169,California,Rafael Nadal,18-24
U123206,Ohio,Roger Federer,45+
U123239,New York,Rafa Nadal,18-24
U123317,Illinois,Emma Raducanu,18-24
U12332,Ohio,Serena Williams,45+
U12334,Ohio,Novak Djokovic,34-45
U123371,Illinois,Rafa Nadal,25-34
U123382,Ohio,Rafa,25-34
U12346,Illinois,Emma Raducanu,18-24
U12351,Illinois,Roger Federer,18-24
U123523,Ohio,Queen Serena,18-24
U12356,California,Roger Federer,25-34
U12368,New York,Rafael Nadal,25-34
U123747,US State,Roger Federer,34-45
