order_id,user_id,status,gender,created_at,shipped_at,delivered_at,returned_at
O100857,U80749,Complete,F,2021-07-01,2021-07-02,2021-07-06,
O100861,U80752,Cancelled,F,2022-03-17,,,
O100871,U80762,Shipped,F,2023-05-29,2023-05-27,,
O100914,U80793,Shipped,F,2019-12-02,2019-12-02,,
O100949,U80826,Shipped,F,2023-06-13,2023-06-11,,
O100950,U80827,Complete,F,2023-05-18,2023-05-15,2023-05-17,
O100953,U80829,Shipped,F,2023-02-26,2023-02-28,,
O100954,U80829,Processing,F,2023-05-06,,,
O100957,U80834,Shipped,F,2023-04-12,2023-04-15,,
O100975,U80842,Shipped,F,2023-01-05,2023-01-04,,
O100979,U80845,Complete,F,2023-05-03,2023-05-06,2023-05-08,
O100991,U80854,Returned,F,2022-06-02,2022-06-01,2022-06-02,2022-06-02
O101001,U80862,Processing,F,2022-08-04,,,
O101010,U80868,Shipped,F,2023-03-03,2023-03-05,,
O101022,U80874,Complete,F,2023-02-14,2023-02-15,2023-02-19,
O101033,U80882,Cancelled,F,2023-02-02,,,
O101055,U80899,Complete,F,2022-05-08,2022-05-10,2022-05-14,
O101068,U80908,Shipped,F,2020-03-06,2020-03-08,,
O101112,U80942,Shipped,F,2023-03-28,2023-03-30,,
O101157,U80982,Complete,F,2023-03-03,2023-03-05,2023-03-05,
O101165,U80988,Shipped,F,2022-01-06,2022-01-08,,
O101181,U81002,Cancelled,F,2022-10-18,,,
O101182,U81003,Processing,F,2022-10-07,,,
O101193,U81013,Cancelled,F,2023-06-27,,,
O10121,U8145,Complete,F,2023-05-27,2023-05-25,2023-05-26,
O101227,U81042,Complete,F,2022-06-29,2022-06-29,2022-06-30,
O101230,U81043,Returned,F,2023-03-24,2023-03-21,2023-03-23,2023-03-23
O101248,U81062,Cancelled,F,2023-06-30,,,
O101249,U81062,Processing,F,2023-06-28,,,
O101255,U81068,Shipped,F,2021-11-27,2021-11-29,,
O101288,U81092,Complete,F,2023-05-14,2023-05-17,2023-05-17,
O101291,U81096,Complete,F,2023-06-24,2023-06-24,2023-06-25,
O101296,U81100,Shipped,F,2023-01-30,2023-01-28,,
O101300,U81102,Processing,F,2022-04-14,,,
O101315,U81111,Processing,F,2021-11-29,,,
O101320,U81117,Complete,F,2023-06-12,2023-06-09,2023-06-13,
O101334,U81129,Returned,F,2022-06-06,2022-06-09,2022-06-11,2022-06-11
O101339,U81134,Cancelled,F,2023-03-15,,,
O10134,U8150,Shipped,F,2023-02-19,2023-02-19,,
O101347,U81141,Shipped,F,2021-11-19,2021-11-20,,
O101359,U81152,Complete,F,2023-05-17,2023-05-18,2023-05-21,
O10142,U8157,Returned,F,2023-06-30,2023-06-30,2023-07-04,2023-07-04
O101458,U81227,Shipped,F,2023-01-05,2023-01-07,,
O101461,U81229,Complete,F,2023-03-29,2023-03-29,2023-04-01,
O101489,U81246,Complete,F,2023-04-15,2023-04-17,2023-04-21,
O101498,U81256,Processing,F,2022-06-10,,,
O101502,U81257,Processing,F,2023-05-02,,,
O101547,U81300,Complete,F,2022-09-12,2022-09-14,2022-09-16,
O101585,U81334,Shipped,F,2020-06-18,2020-06-19,,
O101595,U81339,Processing,F,2020-12-18,,,
O101655,U81386,Processing,F,2019-10-05,,,
O101678,U81403,Processing,F,2021-09-20,,,
O101679,U81403,Shipped,F,2022-09-13,2022-09-16,,
O101686,U81408,Complete,F,2022-02-01,2022-02-01,2022-02-04,
O101710,U81428,Processing,F,2022-03-11,,,
O101712,U81429,Processing,F,2021-08-13,,,
O101785,U81486,Processing,F,2023-05-12,,,
O101802,U81499,Cancelled,F,2022-03-03,,,
O101817,U81514,Processing,F,2022-12-05,,,
O10182,U8182,Complete,F,2022-07-18,2022-07-18,2022-07-20,
O101829,U81526,Complete,F,2023-02-04,2023-02-05,2023-02-08,
O101835,U81532,Shipped,F,2020-09-01,2020-09-01,,
O101860,U81547,Processing,F,2021-09-17,,,
O101866,U81553,Complete,F,2022-02-22,2022-02-22,2022-02-23,
O101889,U81571,Cancelled,F,2022-07-23,,,
O101919,U81604,Processing,F,2021-11-07,,,
O101971,U81640,Processing,F,2022-05-18,,,
O101983,U81650,Complete,F,2022-06-25,2022-06-25,2022-06-28,
O101988,U81654,Complete,F,2022-12-11,2022-12-11,2022-12-14,
O102035,U81688,Shipped,F,2023-03-27,2023-03-28,,
O102070,U81711,Cancelled,F,2023-05-03,,,
O102104,U81740,Complete,F,2022-05-05,2022-05-02,2022-05-06,
O102106,U81742,Shipped,F,2022-05-16,2022-05-14,,
O102113,U81746,Cancelled,F,2022-09-19,,,
O102179,U81805,Shipped,F,2019-07-11,2019-07-13,,
O102184,U81807,Shipped,F,2021-06-22,2021-06-23,,
O102196,U81814,Returned,F,2023-05-25,2023-05-25,2023-05-29,2023-05-29
O102207,U81820,Returned,F,2023-04-04,2023-04-06,2023-04-11,2023-04-11
O102215,U81829,Shipped,F,2021-09-18,2021-09-16,,
O102232,U81843,Returned,F,2021-12-17,2021-12-19,2021-12-22,2021-12-22
O10226,U8216,Complete,F,2022-11-04,2022-11-05,2022-11-08,
O102263,U81870,Shipped,F,2019-08-04,2019-08-03,,
O102270,U81881,Shipped,F,2022-10-26,2022-10-27,,
O102275,U81884,Shipped,F,2023-04-28,2023-04-29,,
O102298,U81899,Complete,F,2023-03-24,2023-03-24,2023-03-25,
O102305,U81903,Cancelled,F,2023-04-18,,,
O102307,U81905,Processing,F,2022-11-02,,,
O10233,U8224,Returned,F,2023-06-16,2023-06-18,2023-06-19,2023-06-19
O102356,U81946,Complete,F,2021-06-28,2021-07-01,2021-07-03,
O102357,U81947,Shipped,F,2022-10-08,2022-10-07,,
O10239,U8228,Processing,F,2020-11-20,,,
O102397,U81980,Shipped,F,2022-12-23,2022-12-25,,
O102407,U81985,Processing,F,2022-08-21,,,
O10242,U8228,Complete,F,2022-07-19,2022-07-21,2022-07-23,
O102474,U82051,Shipped,F,2023-06-29,2023-06-25,,
O102490,U82069,Shipped,F,2022-08-16,2022-08-15,,
O102496,U82074,Returned,F,2023-02-11,2023-02-13,2023-02-17,2023-02-17
O102505,U82085,Complete,F,2022-10-05,2022-10-03,2022-10-05,
O102517,U82097,Complete,F,2021-12-31,2022-01-01,2022-01-01,
O102522,U82100,Complete,F,2019-07-11,2019-07-12,2019-07-14,
O102543,U82116,Shipped,F,2021-07-23,2021-07-23,,
O102546,U82118,Shipped,F,2022-07-08,2022-07-11,,
O102550,U82122,Returned,F,2023-06-20,2023-06-20,2023-06-25,2023-06-25
O102551,U82123,Cancelled,F,2023-03-21,,,
O102585,U82151,Complete,F,2022-01-24,2022-01-25,2022-01-26,
O102605,U82167,Shipped,F,2023-02-04,2023-02-03,,
O10261,U8245,Complete,F,2022-10-02,2022-09-29,2022-10-03,
O102613,U82169,Shipped,F,2021-06-14,2021-06-16,,
O102659,U82205,Shipped,F,2023-04-05,2023-04-07,,
O102661,U82208,Complete,F,2022-12-14,2022-12-12,2022-12-14,
O102667,U82212,Shipped,F,2023-05-21,2023-05-24,,
O102682,U82224,Complete,F,2023-04-29,2023-05-01,2023-05-04,
O102736,U82264,Complete,F,2022-06-30,2022-07-01,2022-07-03,
O102758,U82279,Cancelled,F,2023-04-04,,,
O102793,U82303,Returned,F,2022-10-18,2022-10-19,2022-10-19,2022-10-19
O10282,U8258,Cancelled,F,2019-12-26,,,
O102846,U82347,Shipped,F,2022-10-31,2022-11-02,,
O102866,U82365,Cancelled,F,2022-09-17,,,
O102876,U82375,Cancelled,F,2021-05-08,,,
O102887,U82383,Shipped,F,2023-01-30,2023-02-01,,
O102891,U82386,Complete,F,2021-01-08,2021-01-07,2021-01-10,
O102926,U82410,Complete,F,2021-11-29,2021-12-01,2021-12-04,
O102928,U82412,Returned,F,2023-04-13,2023-04-12,2023-04-16,2023-04-16
O102932,U82414,Complete,F,2020-07-04,2020-07-01,2020-07-05,
O102934,U82415,Complete,F,2022-12-25,2022-12-26,2022-12-29,
O102956,U82427,Cancelled,F,2023-06-17,,,
O102993,U82454,Complete,F,2023-05-07,2023-05-09,2023-05-14,
O10302,U8275,Shipped,F,2022-02-12,2022-02-13,,
O103037,U82482,Processing,F,2022-09-12,,,
O103099,U82531,Shipped,F,2022-07-01,2022-07-01,,
O103103,U82532,Processing,F,2023-02-27,,,
O103125,U82550,Processing,F,2023-04-04,,,
O103135,U82554,Complete,F,2023-06-16,2023-06-15,2023-06-18,
O103142,U82559,Cancelled,F,2023-05-03,,,
O103151,U82567,Cancelled,F,2022-01-14,,,
O103156,U82570,Complete,F,2022-02-13,2022-02-15,2022-02-20,
O103164,U82575,Processing,F,2023-06-23,,,
O103183,U82586,Shipped,F,2023-01-03,2023-01-06,,
O103184,U82587,Shipped,F,2023-04-15,2023-04-17,,
O103191,U82591,Shipped,F,2023-01-26,2023-01-29,,
O103210,U82609,Returned,F,2022-12-28,2022-12-29,2022-12-31,2022-12-31
O103211,U82610,Processing,F,2022-02-10,,,
O103271,U82656,Complete,F,2021-05-23,2021-05-22,2021-05-22,
O103281,U82663,Processing,F,2022-06-17,,,
O103287,U82669,Complete,F,2020-12-07,2020-12-07,2020-12-10,
O103299,U82678,Complete,F,2023-05-10,2023-05-11,2023-05-15,
O103346,U82713,Complete,F,2023-03-02,2023-03-03,2023-03-05,
O103358,U82722,Complete,F,2019-12-25,2019-12-27,2019-12-31,
O103413,U82764,Processing,F,2023-05-26,,,
O10345,U8307,Cancelled,F,2023-05-18,,,
O103453,U82799,Cancelled,F,2020-09-19,,,
O103490,U82823,Complete,F,2020-05-03,2020-05-04,2020-05-07,
O103498,U82832,Complete,F,2022-10-20,2022-10-22,2022-10-25,
O103519,U82849,Shipped,F,2023-06-26,2023-06-28,,
O103532,U82856,Shipped,F,2022-05-23,2022-05-21,,
O103540,U82859,Returned,F,2023-06-27,2023-06-27,2023-06-28,2023-06-28
O103607,U82909,Cancelled,F,2023-04-29,,,
O103613,U82914,Complete,F,2021-09-22,2021-09-23,2021-09-25,
O103614,U82918,Processing,F,2023-06-13,,,
O10362,U8319,Cancelled,F,2022-03-15,,,
O103635,U82934,Shipped,F,2022-02-01,2022-02-04,,
O103638,U82938,Shipped,F,2023-06-13,2023-06-13,,
O103644,U82943,Returned,F,2023-06-29,2023-06-27,2023-07-01,2023-07-01
O103676,U82973,Processing,F,2022-12-16,,,
O103688,U82987,Cancelled,F,2022-08-13,,,
O103689,U82987,Shipped,F,2023-03-03,2023-03-04,,
O103692,U82988,Cancelled,F,2022-01-26,,,
O103694,U82988,Processing,F,2023-04-24,,,
O103710,U83003,Returned,F,2023-06-20,2023-06-21,2023-06-26,2023-06-26
O103725,U83018,Complete,F,2023-05-09,2023-05-07,2023-05-10,
O103727,U83018,Returned,F,2022-01-21,2022-01-23,2022-01-26,2022-01-26
O103740,U83029,Complete,F,2023-05-19,2023-05-22,2023-05-22,
O103744,U83033,Processing,F,2022-05-18,,,
O103764,U83051,Complete,F,2023-06-27,2023-06-28,2023-07-01,
O103782,U83066,Complete,F,2021-01-04,2021-01-03,2021-01-05,
O103797,U83085,Shipped,F,2021-05-19,2021-05-16,,
O103803,U83092,Complete,F,2022-05-02,2022-05-04,2022-05-09,
O103818,U83105,Shipped,F,2022-09-05,2022-09-07,,
O10383,U8335,Complete,F,2022-04-26,2022-04-28,2022-04-30,
O103832,U83116,Processing,F,2020-06-20,,,
O103851,U83127,Processing,F,2023-06-28,,,
O10387,U8339,Complete,F,2022-01-21,2022-01-23,2022-01-24,
O103871,U83142,Shipped,F,2022-05-31,2022-06-03,,
O10388,U8339,Processing,F,2022-02-18,,,
O10391,U8342,Shipped,F,2019-12-06,2019-12-07,,
O103914,U83178,Shipped,F,2022-01-14,2022-01-13,,
O103919,U83183,Complete,F,2021-05-25,2021-05-26,2021-05-29,
O103924,U83189,Returned,F,2021-10-15,2021-10-13,2021-10-15,2021-10-15
O103927,U83190,Shipped,F,2021-03-13,2021-03-14,,
O103945,U83203,Shipped,F,2022-12-30,2022-12-28,,
O103973,U83227,Cancelled,F,2023-04-27,,,
O103979,U83231,Processing,F,2023-05-22,,,
O103992,U83239,Cancelled,F,2022-06-09,,,
O104001,U83248,Returned,F,2020-07-13,2020-07-13,2020-07-14,2020-07-14
O104007,U83254,Cancelled,F,2022-01-16,,,
O104043,U83283,Processing,F,2023-05-16,,,
O104050,U83291,Shipped,F,2021-05-17,2021-05-17,,
O104057,U83297,Complete,F,2020-10-27,2020-10-27,2020-10-30,
O104099,U83327,Complete,F,2022-03-22,2022-03-22,2022-03-24,
O104103,U83330,Returned,F,2022-07-27,2022-07-28,2022-08-01,2022-08-01
O104145,U83366,Returned,F,2021-12-30,2021-12-28,2022-01-02,2022-01-02
O104148,U83369,Complete,F,2022-01-25,2022-01-26,2022-01-29,
O104160,U83375,Complete,F,2021-05-11,2021-05-13,2021-05-15,
O104179,U83388,Cancelled,F,2023-05-06,,,
O104182,U83390,Cancelled,F,2022-01-23,,,
O104187,U83395,Cancelled,F,2021-12-29,,,
O104191,U83402,Cancelled,F,2023-04-03,,,
O104220,U83431,Complete,F,2023-03-11,2023-03-14,2023-03-14,
O104226,U83434,Cancelled,F,2022-11-16,,,
O104247,U83450,Shipped,F,2021-06-29,2021-07-01,,
O104251,U83452,Complete,F,2020-05-17,2020-05-19,2020-05-22,
O104279,U83466,Shipped,F,2022-04-06,2022-04-04,,
O10428,U8369,Processing,F,2020-06-18,,,
O104298,U83484,Cancelled,F,2022-06-22,,,
O104320,U83501,Shipped,F,2022-05-15,2022-05-14,,
O104322,U83502,Shipped,F,2020-05-25,2020-05-28,,
O10437,U8375,Processing,F,2022-08-05,,,
O104394,U83559,Cancelled,F,2021-03-11,,,
O104416,U83575,Shipped,F,2023-02-17,2023-02-14,,
O104419,U83580,Processing,F,2023-05-27,,,
O104420,U83581,Cancelled,F,2021-10-18,,,
O104421,U83581,Complete,F,2021-10-31,2021-11-02,2021-11-05,
O104449,U83606,Shipped,F,2023-03-24,2023-03-26,,
O104459,U83614,Shipped,F,2023-06-06,2023-06-05,,
O104460,U83616,Cancelled,F,2023-02-09,,,
O104479,U83633,Shipped,F,2023-06-05,2023-06-07,,
O10451,U8383,Cancelled,F,2020-05-17,,,
O104522,U83666,Complete,F,2021-07-10,2021-07-11,2021-07-11,
O104539,U83679,Shipped,F,2022-02-02,2022-02-02,,
O104542,U83682,Complete,F,2022-11-23,2022-11-23,2022-11-26,
O104543,U83684,Processing,F,2023-01-08,,,
O104556,U83693,Complete,F,2023-04-08,2023-04-11,2023-04-11,
O104569,U83701,Returned,F,2022-01-09,2022-01-10,2022-01-15,2022-01-15
O104590,U83715,Processing,F,2021-05-27,,,
O104596,U83718,Complete,F,2022-11-13,2022-11-14,2022-11-18,
O104618,U83731,Complete,F,2021-12-21,2021-12-21,2021-12-22,
O104639,U83746,Shipped,F,2021-12-25,2021-12-25,,
O104649,U83752,Complete,F,2023-03-04,2023-03-05,2023-03-05,
O104650,U83752,Shipped,F,2023-03-19,2023-03-23,,
O104653,U83755,Complete,F,2020-02-04,2020-02-05,2020-02-10,
O104700,U83800,Complete,F,2022-10-27,2022-10-27,2022-10-28,
O104712,U83809,Processing,F,2021-09-18,,,
O104715,U83810,Cancelled,F,2023-04-16,,,
O104742,U83835,Shipped,F,2022-03-30,2022-04-01,,
O104767,U83848,Complete,F,2021-03-28,2021-03-31,2021-04-03,
O104778,U83854,Processing,F,2022-10-01,,,
O104779,U83854,Shipped,F,2022-10-14,2022-10-14,,
O104784,U83859,Complete,F,2023-06-12,2023-06-13,2023-06-17,
O104800,U83875,Cancelled,F,2023-04-22,,,
O104801,U83875,Shipped,F,2023-05-30,2023-05-29,,
O10481,U8406,Processing,F,2022-12-09,,,
O104830,U83894,Cancelled,F,2019-07-24,,,
O104843,U83910,Processing,F,2021-05-27,,,
O104874,U83937,Returned,F,2021-10-10,2021-10-07,2021-10-09,2021-10-09
O10488,U8410,Shipped,F,2022-03-12,2022-03-14,,
O104882,U83945,Shipped,F,2022-07-02,2022-07-03,,
O104890,U83952,Cancelled,F,2023-05-19,,,
O104901,U83957,Shipped,F,2023-01-31,2023-02-01,,
O104933,U83983,Complete,F,2023-02-25,2023-02-28,2023-03-04,
O104947,U83997,Shipped,F,2023-03-13,2023-03-12,,
O104968,U84012,Cancelled,F,2023-01-08,,,
O10498,U8419,Cancelled,F,2021-06-16,,,
O104989,U84030,Complete,F,2023-01-02,2023-01-03,2023-01-05,
O10506,U8425,Processing,F,2022-04-04,,,
O105069,U84083,Complete,F,2022-11-09,2022-11-12,2022-11-16,
O105081,U84094,Cancelled,F,2023-03-18,,,
O105092,U84102,Processing,F,2019-02-13,,,
O105096,U84106,Shipped,F,2020-08-05,2020-08-07,,
O105128,U84128,Complete,F,2023-06-28,2023-06-30,2023-07-01,
O105142,U84142,Shipped,F,2022-07-07,2022-07-07,,
O105146,U84146,Shipped,F,2022-03-16,2022-03-18,,
O105165,U84161,Returned,F,2021-03-22,2021-03-23,2021-03-24,2021-03-24
O105202,U84189,Returned,F,2023-03-10,2023-03-10,2023-03-10,2023-03-10
O105209,U84195,Processing,F,2023-05-03,,,
O105253,U84235,Returned,F,2023-06-26,2023-06-28,2023-07-01,2023-07-01
O105257,U84239,Complete,F,2022-10-18,2022-10-20,2022-10-24,
O105262,U84244,Cancelled,F,2023-06-28,,,
O105279,U84256,Shipped,F,2022-12-01,2022-12-02,,
O105289,U84263,Complete,F,2020-11-21,2020-11-22,2020-11-25,
O105327,U84288,Shipped,F,2021-09-14,2021-09-16,,
O10535,U8447,Shipped,F,2021-07-26,2021-07-29,,
O105350,U84309,Processing,F,2023-06-12,,,
O105353,U84311,Processing,F,2022-06-05,,,
O105354,U84312,Complete,F,2023-03-01,2023-02-26,2023-03-02,
O105357,U84316,Shipped,F,2019-10-08,2019-10-08,,
O105368,U84324,Processing,F,2023-06-30,,,
O105369,U84325,Processing,F,2021-11-13,,,
O10537,U8448,Shipped,F,2022-05-01,2022-05-01,,
O10538,U8448,Shipped,F,2023-04-10,2023-04-08,,
O105399,U84346,Shipped,F,2023-04-27,2023-04-26,,
O105416,U84361,Complete,F,2022-11-15,2022-11-16,2022-11-18,
O105420,U84364,Complete,F,2023-05-27,2023-05-29,2023-06-03,
O105460,U84398,Shipped,F,2023-02-09,2023-02-09,,
O105485,U84417,Processing,F,2021-06-05,,,
O105503,U84429,Complete,F,2023-06-09,2023-06-11,2023-06-14,
O105507,U84433,Processing,F,2020-10-25,,,
O105548,U84461,Cancelled,F,2023-03-07,,,
O105554,U84466,Shipped,F,2020-07-10,2020-07-12,,
O105557,U84470,Cancelled,F,2023-05-01,,,
O105570,U84484,Processing,F,2023-03-04,,,
O105574,U84486,Shipped,F,2019-12-10,2019-12-10,,
O105580,U84489,Shipped,F,2022-12-24,2022-12-25,,
O105599,U84504,Shipped,F,2023-05-19,2023-05-19,,
O10560,U8465,Returned,F,2021-08-09,2021-08-09,2021-08-11,2021-08-11
O105609,U84507,Complete,F,2023-02-02,2023-02-03,2023-02-06,
O105612,U84510,Complete,F,2022-06-29,2022-06-30,2022-07-05,
O105618,U84513,Processing,F,2020-02-16,,,
O105642,U84529,Shipped,F,2022-02-12,2022-02-13,,
O105644,U84531,Returned,F,2022-12-15,2022-12-17,2022-12-21,2022-12-21
O105674,U84554,Returned,F,2022-04-10,2022-04-10,2022-04-15,2022-04-15
O105678,U84559,Cancelled,F,2022-05-31,,,
O105681,U84562,Returned,F,2022-11-06,2022-11-08,2022-11-08,2022-11-08
O105685,U84567,Shipped,F,2023-04-02,2023-04-01,,
O105701,U84580,Processing,F,2022-08-20,,,
O105728,U84596,Cancelled,F,2022-07-05,,,
O105771,U84631,Returned,F,2022-03-27,2022-03-23,2022-03-25,2022-03-25
O10578,U8478,Shipped,F,2021-08-12,2021-08-14,,
O10581,U8480,Cancelled,F,2021-11-22,,,
O105813,U84663,Shipped,F,2023-01-21,2023-01-22,,
O105815,U84663,Cancelled,F,2022-08-04,,,
O105819,U84668,Shipped,F,2023-04-03,2023-04-04,,
O105834,U84681,Processing,F,2023-05-11,,,
O105873,U84713,Shipped,F,2023-06-30,2023-07-02,,
O105883,U84722,Processing,F,2023-01-23,,,
O105885,U84722,Cancelled,F,2023-02-03,,,
O105890,U84726,Shipped,F,2022-07-30,2022-07-29,,
O105909,U84743,Complete,F,2022-12-26,2022-12-27,2022-12-30,
O105911,U84743,Shipped,F,2019-07-24,2019-07-24,,
O105915,U84744,Cancelled,F,2020-03-16,,,
O10592,U8486,Shipped,F,2023-01-04,2023-01-05,,
O105926,U84762,Complete,F,2022-03-27,2022-03-27,2022-03-28,
O105947,U84784,Shipped,F,2019-11-03,2019-11-01,,
O105955,U84794,Processing,F,2023-06-26,,,
O105979,U84814,Shipped,F,2022-11-18,2022-11-21,,
O105981,U84814,Shipped,F,2022-08-01,2022-08-01,,
O105986,U84819,Processing,F,2021-07-11,,,
O1060,U842,Shipped,F,2022-06-22,2022-06-24,,
O106006,U84837,Complete,F,2023-05-24,2023-05-24,2023-05-26,
O106007,U84838,Returned,F,2023-04-18,2023-04-20,2023-04-25,2023-04-25
O106024,U84848,Shipped,F,2020-11-26,2020-11-29,,
O106048,U84866,Shipped,F,2023-06-23,2023-06-24,,
O106056,U84869,Processing,F,2022-06-12,,,
O106060,U84875,Complete,F,2022-01-09,2022-01-12,2022-01-15,
O106073,U84885,Complete,F,2020-07-21,2020-07-20,2020-07-25,
O106079,U84890,Shipped,F,2021-03-21,2021-03-21,,
O106097,U84904,Complete,F,2021-09-24,2021-09-22,2021-09-27,
O10612,U8501,Complete,F,2022-09-20,2022-09-21,2022-09-25,
O106146,U84956,Shipped,F,2023-06-18,2023-06-16,,
O106187,U84993,Returned,F,2023-04-15,2023-04-18,2023-04-21,2023-04-21
O106202,U85003,Shipped,F,2023-05-25,2023-05-26,,
O106211,U85010,Shipped,F,2023-05-10,2023-05-07,,
O106225,U85022,Processing,F,2022-07-13,,,
O106235,U85030,Shipped,F,2023-06-15,2023-06-16,,
O106244,U85036,Processing,F,2021-06-16,,,
O106245,U85037,Complete,F,2023-01-05,2023-01-05,2023-01-08,
O106282,U85066,Cancelled,F,2023-03-25,,,
O106312,U85084,Processing,F,2022-07-05,,,
O106348,U85111,Shipped,F,2022-06-21,2022-06-23,,
O106349,U85112,Complete,F,2022-10-08,2022-10-09,2022-10-13,
O106358,U85120,Shipped,F,2022-02-12,2022-02-15,,
O106361,U85125,Shipped,F,2021-04-26,2021-04-25,,
O106366,U85129,Processing,F,2023-05-14,,,
O106367,U85129,Processing,F,2023-06-22,,,
O106389,U85141,Processing,F,2021-08-18,,,
O106398,U85153,Complete,F,2023-06-28,2023-06-29,2023-07-04,
O106416,U85166,Complete,F,2023-06-28,2023-06-28,2023-07-01,
O106423,U85175,Cancelled,F,2021-02-27,,,
O106443,U85191,Shipped,F,2023-06-28,2023-06-26,,
O106445,U85193,Complete,F,2022-10-16,2022-10-15,2022-10-15,
O106452,U85200,Shipped,F,2022-08-22,2022-08-23,,
O106454,U85201,Complete,F,2023-06-04,2023-06-05,2023-06-07,
O106457,U85203,Processing,F,2023-03-20,,,
O106461,U85208,Cancelled,F,2022-10-18,,,
O106498,U85237,Cancelled,F,2019-10-20,,,
O106503,U85240,Processing,F,2022-12-02,,,
O106509,U85245,Returned,F,2020-02-16,2020-02-18,2020-02-21,2020-02-21
O106515,U85248,Complete,F,2023-01-16,2023-01-16,2023-01-18,
O106520,U85252,Cancelled,F,2021-07-12,,,
O106531,U85265,Processing,F,2021-09-06,,,
O106536,U85269,Cancelled,F,2023-04-08,,,
O106542,U85272,Cancelled,F,2023-06-25,,,
O106552,U85282,Shipped,F,2021-01-28,2021-01-25,,
O106578,U85304,Complete,F,2023-04-03,2023-04-01,2023-04-04,
O106592,U85315,Cancelled,F,2020-01-29,,,
O106621,U85343,Complete,F,2021-04-30,2021-05-03,2021-05-04,
O106630,U85348,Cancelled,F,2022-12-20,,,
