order_item_id,order_id,product_id,created_at,shipped_at,delivered_at,returned_at,sale_price
OI133845,O92343,P005,2021-07-14,2021-07-14,,,12.0
OI166871,O114957,P005,2021-07-06,2021-07-08,2021-07-09,,12.0
OI87593,O60410,P005,2021-09-03,,,,12.0
OI77129,O53097,P005,2023-06-05,,,,12.0
OI1825,O1237,P004,2022-06-01,2022-06-03,2022-06-05,,12.5
OI98730,O68100,P004,2022-03-29,2022-03-30,2022-04-02,,12.5
OI110529,O76236,P004,2023-01-17,2023-01-17,2023-01-22,,12.5
OI141997,O97902,P004,2022-01-12,2022-01-12,2022-01-13,2022-01-16,12.5
OI93864,O64751,P004,2023-01-29,,,,12.5
OI80406,O55390,P004,2022-11-07,,,,12.5
OI144957,O99924,P004,2023-03-19,,,,12.5
OI92706,O63937,P006,2023-04-03,2023-04-02,,,14.0
OI118755,O81930,P006,2019-12-14,2019-12-14,,,14.0
OI58814,O40430,P006,2021-06-07,2021-06-08,2021-06-13,,14.0
OI176868,O121864,P006,2023-05-19,2023-05-18,2023-05-22,,14.0
OI167534,O115407,P006,2022-05-20,2022-05-21,2022-05-23,2022-05-25,14.0
OI99854,O68838,P006,2022-01-19,,,,14.0
OI121258,O83658,P006,2021-09-01,,,,14.0
OI26507,O18224,P006,2021-03-16,,,,14.0
OI50847,O34941,P006,2023-05-09,,,,14.0
OI172196,O118586,P007,2023-06-14,2023-06-15,,,14.5
OI112846,O77837,P007,2023-06-30,2023-06-28,2023-07-01,,14.5
OI37377,O25680,P007,2022-04-29,2022-04-30,2022-05-03,2022-05-05,14.5
OI85008,O58581,P007,2023-02-12,,,,14.5
OI127125,O87692,P007,2023-05-17,,,,14.5
OI18677,O12850,P004,2023-03-31,2023-04-02,,,15.0
OI23943,O16473,P004,2023-02-08,2023-02-09,,,15.0
OI41138,O28317,P008,2023-03-28,2023-03-30,,,15.0
OI50902,O34973,P003,2022-12-06,2022-12-08,,,15.0
OI104059,O71798,P003,2023-01-22,2023-01-22,,,15.0
OI128462,O88632,P008,2023-07-01,2023-06-28,,,15.0
OI128644,O88759,P003,2022-12-10,2022-12-12,,,15.0
OI156322,O107713,P004,2022-09-13,2022-09-11,,,15.0
OI32631,O22438,P003,2021-11-19,2021-11-20,2021-11-23,,15.0
OI35805,O24629,P004,2022-10-30,2022-10-30,2022-11-03,,15.0
OI44616,O30698,P004,2022-08-18,2022-08-18,2022-08-21,,15.0
OI69349,O47736,P008,2023-03-13,2023-03-15,2023-03-16,,15.0
OI70639,O48618,P003,2023-04-04,2023-04-03,2023-04-04,,15.0
OI70704,O48658,P003,2022-05-08,2022-05-08,2022-05-13,,15.0
OI117593,O81142,P008,2019-05-14,2019-05-14,2019-05-15,,15.0
OI176942,O121908,P004,2021-10-06,2021-10-08,2021-10-11,,15.0
OI21425,O14735,P003,2022-10-05,2022-10-03,2022-10-05,2022-10-08,15.0
OI26623,O18303,P003,2023-06-26,2023-06-24,2023-06-25,2023-06-27,15.0
OI61117,O42031,P008,2021-06-15,2021-06-17,2021-06-21,2021-06-23,15.0
OI143118,O98655,P004,2022-10-23,2022-10-23,2022-10-26,2022-10-28,15.0
OI156732,O108006,P003,2022-05-28,2022-05-31,2022-06-04,2022-06-06,15.0
OI37580,O25832,P008,2022-10-04,,,,15.0
OI104948,O72413,P008,2023-02-01,,,,15.0
OI5905,O4043,P008,2020-07-23,,,,15.0
OI63751,O43828,P004,2022-07-28,,,,15.0
OI68255,O47033,P008,2022-08-05,,,,15.0
OI102258,O70510,P003,2022-09-18,,,,15.0
OI120145,O82894,P003,2023-01-28,,,,15.0
OI156472,O107812,P008,2021-05-11,,,,15.0
OI2435,O1646,P006,2022-11-25,2022-11-23,,,17.0
OI9526,O6509,P006,2021-02-24,2021-02-26,,,17.0
OI48439,O33329,P006,2020-12-25,2020-12-26,,,17.0
OI140342,O96743,P006,2020-08-10,2020-08-10,,,17.0
OI181376,O124985,P006,2022-06-27,,,,17.0
OI153858,O105986,P006,2021-07-11,,,,17.0
OI7039,O4812,P005,2023-01-12,2023-01-13,,,18.0
OI25484,O17521,P005,2022-10-03,2022-10-04,,,18.0
OI41076,O28272,P007,2020-12-30,2020-12-30,,,18.0
OI62286,O42831,P005,2021-04-15,2021-04-15,,,18.0
OI83935,O57815,P007,2022-04-12,2022-04-13,,,18.0
OI89167,O61516,P007,2021-11-25,2021-11-25,,,18.0
OI156729,O108003,P007,2020-01-04,2020-01-05,,,18.0
OI149049,O102736,P007,2022-06-30,2022-07-01,2022-07-03,,18.0
OI167326,O115266,P007,2022-04-15,2022-04-14,2022-04-17,,18.0
OI179789,O123862,P005,2023-06-07,2023-06-09,2023-06-10,,18.0
OI37567,O25822,P005,2023-04-18,2023-04-18,2023-04-20,2023-04-21,18.0
OI55562,O38188,P005,2019-11-28,2019-11-27,2019-11-30,2019-12-02,18.0
OI101746,O70153,P005,2022-07-25,2022-07-26,2022-07-31,2022-07-31,18.0
OI132514,O91427,P007,2021-04-09,2021-04-11,2021-04-15,2021-04-16,18.0
OI169737,O116900,P007,2021-08-21,2021-08-21,2021-08-23,2021-08-25,18.0
OI38094,O26206,P005,2021-10-06,,,,18.0
OI58998,O40560,P005,2021-08-04,,,,18.0
OI91486,O63121,P005,2020-06-16,,,,18.0
OI28849,O19811,P005,2020-01-16,,,,18.0
OI129751,O89533,P007,2023-02-12,,,,18.0
OI175712,O121058,P007,2022-10-10,,,,18.0
OI66618,O45873,P005,2022-06-11,2022-06-11,,,19.0
OI44578,O30670,P005,2022-05-21,2022-05-19,2022-05-19,,19.0
OI175264,O120736,P005,2022-08-25,2022-08-24,2022-08-25,,19.0
OI17450,O12008,P005,2023-03-14,2023-03-14,2023-03-15,2023-03-16,19.0
OI179742,O123829,P005,2023-06-23,2023-06-19,2023-06-24,2023-06-24,19.0
OI19447,O13380,P005,2023-02-20,,,,19.0
OI26149,O17977,P005,2021-07-02,,,,19.0
OI88705,O61195,P005,2021-11-15,,,,19.0
OI15356,O10592,P008,2023-01-04,2023-01-05,,,20.0
OI29761,O20448,P008,2023-03-21,2023-03-20,,,20.0
OI95454,O65853,P008,2020-04-29,2020-05-02,,,20.0
OI109015,O75201,P007,2022-06-09,2022-06-05,,,20.0
OI4931,O3366,P008,2022-04-18,2022-04-17,2022-04-21,,20.0
OI18987,O13061,P008,2021-11-07,2021-11-07,2021-11-09,,20.0
OI20401,O14027,P007,2023-03-21,2023-03-19,2023-03-22,2023-03-24,20.0
OI14850,O10239,P008,2020-11-20,,,,20.0
OI86713,O59805,P007,2020-10-11,,,,20.0
OI116544,O80397,P008,2022-09-02,,,,20.0
OI123108,O84926,P008,2023-06-26,,,,20.0
OI178784,O123188,P007,2022-09-18,,,,20.0
OI32144,O22097,P006,2023-04-11,2023-04-12,,,21.0
OI33258,O22886,P006,2022-07-16,2022-07-16,,,21.0
OI37873,O26049,P006,2023-02-25,2023-02-27,,,21.0
OI71143,O48952,P006,2020-09-18,2020-09-18,,,21.0
OI130167,O89828,P006,2022-05-15,2022-05-15,,,21.0
OI93139,O64240,P006,2023-06-30,,,,21.0
OI173637,O119597,P006,2020-09-13,,,,21.0
OI60135,O41343,P006,2023-05-29,,,,21.0
OI12289,O8444,P006,2022-09-26,2022-09-28,,,22.0
OI38298,O26343,P006,2023-02-22,2023-02-24,,,22.0
OI44373,O30514,P007,2023-06-09,2023-06-09,,,22.0
OI50737,O34873,P004,2023-04-17,2023-04-15,,,22.0
OI57829,O39726,P006,2023-05-01,2023-04-29,,,22.0
OI67808,O46707,P007,2022-01-02,2022-01-05,,,22.0
OI76768,O52844,P007,2023-03-20,2023-03-18,,,22.0
OI82220,O56624,P001,2021-08-12,2021-08-12,,,22.0
OI126775,O87456,P007,2021-06-30,2021-06-26,,,22.0
OI146551,O101010,P004,2023-03-03,2023-03-05,,,22.0
OI172708,O118923,P004,2022-10-07,2022-10-08,,,22.0
OI45174,O31077,P006,2020-06-02,2020-06-03,2020-06-05,,22.0
OI59250,O40739,P004,2020-06-15,2020-06-14,2020-06-15,,22.0
OI68612,O47266,P006,2023-03-12,2023-03-13,2023-03-13,,22.0
OI80760,O55635,P006,2023-06-06,2023-06-06,2023-06-08,,22.0
OI115669,O79760,P007,2022-05-20,2022-05-22,2022-05-24,,22.0
OI119139,O82190,P001,2022-08-23,2022-08-22,2022-08-22,,22.0
OI137744,O95000,P004,2022-06-05,2022-06-07,2022-06-10,,22.0
OI147002,O101320,P007,2023-06-12,2023-06-09,2023-06-13,,22.0
OI149250,O102891,P006,2021-01-08,2021-01-07,2021-01-10,,22.0
OI149669,O103156,P004,2022-02-13,2022-02-15,2022-02-20,,22.0
OI19010,O13076,P006,2022-08-17,2022-08-18,2022-08-20,2022-08-21,22.0
OI90261,O62264,P001,2019-11-11,2019-11-13,2019-11-15,2019-11-16,22.0
OI166850,O114942,P007,2023-01-06,2023-01-08,2023-01-10,2023-01-13,22.0
OI168722,O116232,P006,2023-05-11,2023-05-08,2023-05-13,2023-05-15,22.0
OI53822,O36981,P006,2023-02-19,,,,22.0
OI58605,O40289,P004,2023-01-07,,,,22.0
OI72668,O50017,P001,2022-12-15,,,,22.0
OI132374,O91334,P006,2023-05-03,,,,22.0
OI162811,O112218,P001,2023-03-06,,,,22.0
OI36443,O25047,P007,2023-04-11,,,,22.0
OI50413,O34652,P001,2023-03-01,,,,22.0
OI50555,O34741,P004,2021-05-24,,,,22.0
OI92470,O63783,P001,2022-01-29,,,,22.0
OI96557,O66626,P006,2023-02-13,,,,22.0
OI129221,O89161,P006,2022-12-28,,,,22.0
OI153811,O105955,P004,2023-06-26,,,,22.0
OI18025,O12410,P007,2021-07-20,2021-07-22,,,24.0
OI39096,O26899,P011,2021-11-13,2021-11-12,,,24.0
OI43343,O29816,P007,2020-03-16,2020-03-15,,,24.0
OI52007,O35722,P011,2022-04-29,2022-04-27,,,24.0
OI64257,O44182,P007,2022-11-15,2022-11-15,,,24.0
OI75458,O51953,P008,2022-12-24,2022-12-25,,,24.0
OI88048,O60736,P007,2023-04-05,2023-04-03,,,24.0
OI90321,O62310,P011,2023-06-28,2023-06-29,,,24.0
OI94361,O65097,P007,2023-04-20,2023-04-20,,,24.0
OI101185,O69753,P008,2022-01-24,2022-01-22,,,24.0
OI133471,O92075,P007,2021-09-29,2021-09-28,,,24.0
OI143267,O98764,P007,2022-10-29,2022-10-30,,,24.0
OI22693,O15607,P007,2022-04-23,2022-04-22,2022-04-25,2022-04-26,24.0
OI81519,O56151,P007,2021-12-30,,,,24.0
OI101210,O69770,P007,2023-04-24,,,,24.0
OI21044,O14471,P008,2023-06-17,,,,24.0
OI44859,O30862,P011,2022-11-30,,,,24.0
OI76695,O52796,P007,2022-01-21,,,,24.0
OI93921,O64794,P011,2023-05-29,,,,24.0
OI174311,O120076,P007,2021-03-06,,,,24.0
OI10432,O7146,P007,2022-09-21,2022-09-22,,,25.0
OI13994,O9643,P007,2023-04-27,2023-04-29,,,25.0
OI14313,O9863,P007,2022-06-21,2022-06-23,,,25.0
OI17154,O11808,P008,2023-03-14,2023-03-14,,,25.0
OI21169,O14560,P011,2021-10-24,2021-10-26,,,25.0
OI21353,O14691,P003,2023-04-19,2023-04-22,,,25.0
OI21597,O14860,P007,2023-02-06,2023-02-06,,,25.0
OI24039,O16538,P002,2021-10-28,2021-10-28,,,25.0
OI32228,O22154,P005,2022-03-21,2022-03-22,,,25.0
OI33443,O23012,P004,2021-11-02,2021-10-29,,,25.0
OI42481,O29228,P007,2022-06-08,2022-06-05,,,25.0
OI43034,O29607,P002,2022-08-23,2022-08-24,,,25.0
OI43347,O29819,P008,2023-05-12,2023-05-12,,,25.0
OI44926,O30904,P008,2023-05-02,2023-05-04,,,25.0
OI50414,O34653,P002,2023-03-10,2023-03-07,,,25.0
OI54831,O37688,P002,2023-01-23,2023-01-24,,,25.0
OI57827,O39726,P002,2023-05-03,2023-04-29,,,25.0
OI58294,O40061,P002,2022-02-27,2022-03-01,,,25.0
OI62643,O43066,P007,2022-10-30,2022-10-30,,,25.0
OI64781,O44563,P007,2022-09-27,2022-09-29,,,25.0
OI66140,O45540,P004,2021-01-23,2021-01-24,,,25.0
OI68195,O46989,P002,2022-10-14,2022-10-15,,,25.0
OI71179,O48981,P007,2023-05-02,2023-05-05,,,25.0
OI75243,O51793,P004,2020-12-02,2020-11-30,,,25.0
OI76431,O52625,P003,2019-10-24,2019-10-24,,,25.0
OI85128,O58669,P005,2023-06-26,2023-06-28,,,25.0
OI85750,O59120,P008,2023-04-25,2023-04-24,,,25.0
OI88776,O61241,P004,2022-10-30,2022-11-01,,,25.0
OI90740,O62592,P002,2023-01-22,2023-01-22,,,25.0
OI91705,O63254,P011,2023-06-29,2023-07-01,,,25.0
OI93171,O64264,P008,2021-08-29,2021-08-30,,,25.0
OI95580,O65935,P007,2023-01-26,2023-01-26,,,25.0
OI96492,O66574,P005,2022-10-24,2022-10-23,,,25.0
OI97384,O67202,P003,2023-02-23,2023-02-21,,,25.0
OI97913,O67550,P006,2023-03-11,2023-03-12,,,25.0
OI99590,O68671,P002,2021-09-28,2021-09-28,,,25.0
OI99705,O68744,P004,2023-04-06,2023-04-05,,,25.0
OI100249,O69109,P002,2022-12-10,2022-12-09,,,25.0
OI100900,O69549,P004,2022-05-22,2022-05-22,,,25.0
OI103191,O71184,P008,2023-03-02,2023-03-03,,,25.0
OI103259,O71232,P007,2023-06-15,2023-06-15,,,25.0
OI107254,O74004,P006,2021-09-18,2021-09-20,,,25.0
OI107605,O74232,P004,2023-02-04,2023-02-01,,,25.0
OI111290,O76759,P002,2020-06-10,2020-06-12,,,25.0
OI111903,O77203,P009,2023-03-17,2023-03-17,,,25.0
OI114758,O79134,P007,2022-10-21,2022-10-22,,,25.0
OI118814,O81967,P004,2022-11-19,2022-11-18,,,25.0
OI120391,O83051,P006,2022-10-30,2022-10-29,,,25.0
OI126266,O87091,P005,2021-12-30,2021-12-27,,,25.0
OI126882,O87527,P002,2021-03-24,2021-03-25,,,25.0
OI127644,O88056,P004,2021-10-08,2021-10-08,,,25.0
OI129996,O89704,P002,2023-05-14,2023-05-10,,,25.0
OI133975,O92442,P004,2022-07-14,2022-07-13,,,25.0
OI135108,O93205,P006,2021-07-09,2021-07-12,,,25.0
OI140858,O97104,P005,2022-05-06,2022-05-08,,,25.0
OI158748,O109406,P006,2021-08-04,2021-08-05,,,25.0
OI159273,O109762,P008,2021-10-23,2021-10-23,,,25.0
OI162752,O112176,P007,2023-04-23,2023-04-26,,,25.0
OI163001,O112350,P004,2022-03-23,2022-03-23,,,25.0
OI163131,O112438,P008,2023-06-28,2023-06-29,,,25.0
OI164249,O113173,P002,2021-03-10,2021-03-11,,,25.0
OI170687,O117573,P007,2022-05-03,2022-05-04,,,25.0
OI172743,O118954,P008,2020-04-17,2020-04-19,,,25.0
OI172828,O119016,P002,2020-05-27,2020-05-27,,,25.0
OI180116,O124092,P004,2022-07-14,2022-07-12,,,25.0
OI5923,O4055,P008,2022-11-17,2022-11-14,2022-11-15,,25.0
OI7065,O4831,P002,2021-07-16,2021-07-17,2021-07-22,,25.0
OI8437,O5775,P007,2022-06-23,2022-06-26,2022-06-29,,25.0
OI8679,O5938,P006,2019-02-21,2019-02-24,2019-02-24,,25.0
OI8745,O5984,P008,2022-08-01,2022-08-01,2022-08-04,,25.0
OI9248,O6314,P002,2023-02-15,2023-02-18,2023-02-23,,25.0
OI12273,O8432,P008,2023-04-23,2023-04-23,2023-04-24,,25.0
OI17627,O12131,P008,2022-06-23,2022-06-24,2022-06-25,,25.0
OI18746,O12899,P006,2023-03-22,2023-03-22,2023-03-26,,25.0
OI19449,O13381,P002,2023-01-05,2023-01-04,2023-01-06,,25.0
OI19939,O13715,P004,2022-11-27,2022-11-27,2022-11-29,,25.0
OI21267,O14635,P011,2020-10-31,2020-11-01,2020-11-05,,25.0
OI21833,O15023,P004,2023-01-19,2023-01-20,2023-01-20,,25.0
OI22746,O15646,P008,2022-10-21,2022-10-18,2022-10-22,,25.0
OI25987,O17863,P004,2022-10-04,2022-10-04,2022-10-06,,25.0
OI30462,O20945,P008,2022-11-25,2022-11-25,2022-11-30,,25.0
OI35417,O24365,P003,2023-06-13,2023-06-12,2023-06-13,,25.0
OI37253,O25594,P008,2022-07-01,2022-07-02,2022-07-06,,25.0
OI39829,O27407,P005,2023-03-07,2023-03-09,2023-03-13,,25.0
OI41197,O28355,P004,2021-06-30,2021-06-27,2021-07-01,,25.0
OI41625,O28655,P007,2023-05-02,2023-05-04,2023-05-06,,25.0
OI46061,O31669,P002,2023-05-01,2023-05-01,2023-05-02,,25.0
OI52915,O36349,P007,2022-07-13,2022-07-11,2022-07-16,,25.0
OI56662,O38939,P003,2021-12-04,2021-12-04,2021-12-05,,25.0
OI63987,O43987,P007,2022-11-21,2022-11-23,2022-11-27,,25.0
OI66536,O45811,P011,2022-09-11,2022-09-09,2022-09-13,,25.0
OI68566,O47236,P005,2022-03-25,2022-03-27,2022-04-01,,25.0
OI72660,O50012,P008,2021-05-27,2021-05-25,2021-05-27,,25.0
OI74563,O51335,P007,2023-05-30,2023-06-01,2023-06-02,,25.0
OI79457,O54709,P008,2023-04-04,2023-04-05,2023-04-10,,25.0
OI83667,O57618,P002,2023-06-27,2023-06-28,2023-06-29,,25.0
OI83765,O57690,P006,2022-09-13,2022-09-13,2022-09-14,,25.0
OI86762,O59836,P002,2022-01-28,2022-01-29,2022-02-03,,25.0
OI88268,O60892,P002,2023-04-21,2023-04-23,2023-04-24,,25.0
OI88814,O61263,P004,2022-09-15,2022-09-15,2022-09-16,,25.0
OI92403,O63741,P005,2022-05-11,2022-05-11,2022-05-12,,25.0
OI95662,O65993,P002,2019-06-06,2019-06-05,2019-06-09,,25.0
OI99726,O68761,P002,2020-09-07,2020-09-08,2020-09-08,,25.0
OI100410,O69224,P006,2021-10-05,2021-10-04,2021-10-07,,25.0
OI106432,O73438,P007,2020-08-23,2020-08-20,2020-08-24,,25.0
OI114857,O79201,P007,2023-05-12,2023-05-12,2023-05-13,,25.0
OI115406,O79599,P002,2021-02-16,2021-02-17,2021-02-19,,25.0
OI115649,O79749,P007,2021-12-20,2021-12-23,2021-12-26,,25.0
OI117952,O81383,P004,2020-10-24,2020-10-22,2020-10-24,,25.0
OI119263,O82275,P002,2022-07-27,2022-07-28,2022-07-30,,25.0
OI124916,O86171,P011,2022-09-08,2022-09-09,2022-09-11,,25.0
OI126095,O86981,P005,2023-05-20,2023-05-20,2023-05-21,,25.0
OI126272,O87096,P004,2022-12-28,2022-12-29,2023-01-01,,25.0
OI126475,O87242,P008,2021-11-30,2021-12-01,2021-12-03,,25.0
OI131904,O90994,P006,2023-03-02,2023-03-02,2023-03-03,,25.0
OI134505,O92809,P007,2020-05-01,2020-04-30,2020-05-05,,25.0
OI138390,O95437,P002,2022-07-25,2022-07-23,2022-07-26,,25.0
OI148130,O102104,P007,2022-05-05,2022-05-02,2022-05-06,,25.0
OI154224,O106245,P002,2023-01-05,2023-01-05,2023-01-08,,25.0
OI156431,O107781,P005,2022-12-15,2022-12-14,2022-12-19,,25.0
OI159791,O110110,P008,2022-09-18,2022-09-20,2022-09-24,,25.0
OI160526,O110630,P004,2022-06-05,2022-06-07,2022-06-12,,25.0
OI162219,O111784,P011,2022-12-09,2022-12-12,2022-12-16,,25.0
OI163069,O112396,P011,2022-03-14,2022-03-15,2022-03-19,,25.0
OI163266,O112523,P008,2020-07-01,2020-07-02,2020-07-07,,25.0
OI168434,O116034,P004,2022-10-27,2022-10-29,2022-11-01,,25.0
OI171219,O117922,P005,2022-11-10,2022-11-10,2022-11-12,,25.0
OI172570,O118831,P004,2023-05-14,2023-05-15,2023-05-18,,25.0
OI176179,O121387,P002,2022-01-23,2022-01-22,2022-01-25,,25.0
OI178005,O122645,P007,2023-06-19,2023-06-22,2023-06-23,,25.0
OI3267,O2220,P002,2022-02-19,2022-02-21,2022-02-22,2022-02-22,25.0
OI7577,O5198,P006,2022-05-03,2022-05-01,2022-05-03,2022-05-06,25.0
OI33100,O22770,P008,2023-06-22,2023-06-22,2023-06-23,2023-06-23,25.0
OI42835,O29477,P007,2022-08-16,2022-08-17,2022-08-20,2022-08-20,25.0
OI67651,O46594,P005,2022-05-12,2022-05-10,2022-05-13,2022-05-16,25.0
OI69091,O47567,P002,2023-05-30,2023-05-28,2023-05-29,2023-05-29,25.0
OI107279,O74021,P006,2021-05-19,2021-05-21,2021-05-25,2021-05-26,25.0
OI119222,O82252,P002,2022-09-29,2022-09-30,2022-10-02,2022-10-03,25.0
OI121226,O83638,P002,2023-04-17,2023-04-17,2023-04-21,2023-04-22,25.0
OI121684,O83962,P007,2022-08-07,2022-08-03,2022-08-07,2022-08-08,25.0
OI135033,O93150,P002,2019-06-09,2019-06-10,2019-06-11,2019-06-14,25.0
OI146866,O101230,P006,2023-03-24,2023-03-21,2023-03-23,2023-03-24,25.0
OI150528,O103727,P007,2022-01-21,2022-01-23,2022-01-26,2022-01-29,25.0
OI150807,O103924,P004,2021-10-15,2021-10-13,2021-10-15,2021-10-17,25.0
OI161288,O111153,P002,2021-11-17,2021-11-17,2021-11-20,2021-11-23,25.0
OI161636,O111398,P005,2023-06-05,2023-06-04,2023-06-08,2023-06-09,25.0
OI1487,O1004,P002,2023-04-21,,,,25.0
OI5599,O3833,P004,2021-07-13,,,,25.0
OI16688,O11499,P004,2021-02-07,,,,25.0
OI26493,O18213,P002,2021-05-22,,,,25.0
OI28836,O19803,P007,2021-01-12,,,,25.0
OI29285,O20113,P002,2022-07-19,,,,25.0
OI31470,O21636,P009,2022-01-09,,,,25.0
OI34475,O23708,P002,2023-02-12,,,,25.0
OI35162,O24197,P004,2021-04-17,,,,25.0
OI36224,O24900,P002,2021-04-15,,,,25.0
OI36922,O25366,P003,2022-01-28,,,,25.0
OI38644,O26589,P004,2023-02-09,,,,25.0
OI39880,O27444,P002,2021-01-25,,,,25.0
OI66489,O45782,P008,2022-08-15,,,,25.0
OI70301,O48386,P009,2022-07-12,,,,25.0
OI72613,O49974,P008,2022-02-23,,,,25.0
OI77005,O53007,P006,2023-06-02,,,,25.0
OI78614,O54124,P007,2022-03-07,,,,25.0
OI92724,O63951,P007,2022-10-11,,,,25.0
OI95407,O65819,P008,2020-12-20,,,,25.0
OI100898,O69547,P006,2023-06-02,,,,25.0
OI113459,O78263,P011,2022-12-14,,,,25.0
OI115511,O79665,P007,2019-10-28,,,,25.0
OI120671,O83238,P009,2019-10-20,,,,25.0
OI126382,O87175,P005,2019-07-12,,,,25.0
OI129512,O89358,P009,2022-05-28,,,,25.0
OI129516,O89361,P007,2023-01-24,,,,25.0
OI145503,O100297,P004,2022-05-16,,,,25.0
OI146275,O100830,P005,2021-10-29,,,,25.0
OI146287,O100838,P007,2022-09-19,,,,25.0
OI151209,O104191,P011,2023-04-03,,,,25.0
OI162804,O112215,P005,2022-11-04,,,,25.0
OI163214,O112496,P004,2019-08-28,,,,25.0
OI170036,O117103,P005,2023-01-21,,,,25.0
OI175663,O121023,P007,2020-06-27,,,,25.0
OI176753,O121779,P007,2023-05-14,,,,25.0
OI177476,O122281,P002,2023-05-27,,,,25.0
OI179754,O123836,P002,2023-02-23,,,,25.0
OI4467,O3053,P004,2023-03-04,,,,25.0
OI6238,O4274,P007,2022-11-21,,,,25.0
OI7071,O4836,P003,2023-05-30,,,,25.0
OI10890,O7474,P002,2022-06-17,,,,25.0
OI13158,O9038,P002,2023-04-20,,,,25.0
OI19191,O13204,P009,2023-05-21,,,,25.0
OI27273,O18738,P002,2022-09-30,,,,25.0
OI37000,O25416,P011,2019-12-14,,,,25.0
OI37375,O25679,P004,2023-01-27,,,,25.0
OI38195,O26275,P007,2023-05-25,,,,25.0
OI53575,O36817,P002,2022-02-06,,,,25.0
OI85640,O59040,P007,2022-10-05,,,,25.0
OI87019,O60015,P005,2022-12-27,,,,25.0
OI91170,O62886,P006,2023-03-25,,,,25.0
OI91792,O63315,P008,2022-01-14,,,,25.0
OI96131,O66331,P006,2021-10-27,,,,25.0
OI101310,O69829,P004,2021-05-12,,,,25.0
OI102359,O70588,P006,2023-01-21,,,,25.0
OI104833,O72326,P008,2023-06-29,,,,25.0
OI107526,O74178,P004,2020-03-26,,,,25.0
